date,district_id,block_id,cluster_id,school_id,grade,school_category,gender,students_marked_present
02/28/23,101,10101,101010111,1000000008,4,primary,female,18
02/28/23,101,10101,101010111,1000000006,7,upper_primary,male,18
02/28/23,101,10101,101010111,1000000005,9,secondary,female,20
02/28/23,101,10101,101010112,1000000009,9,secondary,female,12
02/28/23,101,10101,101010111,1000000005,12,senior_secondary,male,25
02/28/23,101,10101,101010111,1000000003,10,secondary,male,17
02/28/23,101,10101,101010111,1000000002,4,primary,male,23
02/28/23,101,10101,101010111,1000000006,3,primary,male,11
02/28/23,101,10101,101010111,1000000006,1,primary,female,19
02/28/23,101,10101,101010111,1000000002,12,senior_secondary,male,27
02/28/23,101,10101,101010111,1000000002,6,upper_primary,female,27
02/28/23,101,10101,101010112,1000000009,2,primary,female,27
02/28/23,101,10101,101010111,1000000001,4,primary,male,11
02/28/23,101,10101,101010111,1000000008,4,primary,male,12
02/28/23,101,10101,101010112,1000000009,11,senior_secondary,female,12
02/28/23,101,10101,101010111,1000000007,8,upper_primary,male,12
02/28/23,101,10101,101010111,1000000005,2,primary,female,13
02/28/23,101,10101,101010111,1000000008,10,secondary,male,12
02/28/23,101,10101,101010111,1000000007,5,primary,male,17
02/28/23,101,10101,101010111,1000000002,2,primary,male,10
02/28/23,101,10101,101010111,1000000005,7,upper_primary,female,19
02/28/23,101,10101,101010111,1000000003,10,secondary,female,10
02/28/23,101,10101,101010111,1000000004,3,primary,female,15
02/28/23,101,10101,101010111,1000000006,10,secondary,male,11
02/28/23,101,10101,101010111,1000000004,8,upper_primary,female,25
02/28/23,101,10101,101010111,1000000003,12,senior_secondary,male,23
02/28/23,101,10101,101010111,1000000006,4,primary,female,12
02/28/23,101,10101,101010111,1000000001,9,secondary,male,20
02/28/23,101,10101,101010112,1000000009,8,upper_primary,male,19
02/28/23,101,10101,101010112,1000000010,12,senior_secondary,female,22
02/28/23,101,10101,101010111,1000000004,12,senior_secondary,female,23
02/28/23,101,10101,101010111,1000000007,10,secondary,female,19
02/28/23,101,10101,101010111,1000000007,2,primary,female,18
02/28/23,101,10101,101010111,1000000006,11,senior_secondary,male,14
02/28/23,101,10101,101010111,1000000006,4,primary,male,22
02/28/23,101,10101,101010111,1000000007,9,secondary,female,10
02/28/23,101,10101,101010111,1000000007,1,primary,male,25
02/28/23,101,10101,101010111,1000000004,12,senior_secondary,male,29
02/28/23,101,10101,101010111,1000000001,10,secondary,female,18
02/28/23,101,10101,101010111,1000000001,4,primary,female,10
02/28/23,101,10101,101010112,1000000009,6,upper_primary,female,22
02/28/23,101,10101,101010111,1000000008,7,upper_primary,female,20
02/28/23,101,10101,101010111,1000000001,7,upper_primary,female,13
02/28/23,101,10101,101010111,1000000007,9,secondary,male,18
02/28/23,101,10101,101010111,1000000002,8,upper_primary,female,29
02/28/23,101,10101,101010111,1000000005,3,primary,male,28
02/28/23,101,10101,101010111,1000000005,10,secondary,male,21
02/28/23,101,10101,101010111,1000000002,8,upper_primary,male,18
02/28/23,101,10101,101010111,1000000002,11,senior_secondary,female,13
02/28/23,101,10101,101010111,1000000001,2,primary,male,20
02/28/23,101,10101,101010111,1000000001,8,upper_primary,male,19
02/28/23,101,10101,101010112,1000000009,4,primary,female,19
02/28/23,101,10101,101010111,1000000008,11,senior_secondary,male,15
02/28/23,101,10101,101010111,1000000002,7,upper_primary,male,24
02/28/23,101,10101,101010111,1000000003,6,upper_primary,female,23
02/28/23,101,10101,101010111,1000000003,4,primary,female,10
02/28/23,101,10101,101010112,1000000010,10,secondary,male,22
02/28/23,101,10101,101010111,1000000003,11,senior_secondary,female,26
02/28/23,101,10101,101010112,1000000010,11,senior_secondary,female,15
02/28/23,101,10101,101010112,1000000009,9,secondary,male,18
02/28/23,101,10101,101010111,1000000008,1,primary,female,12
02/28/23,101,10101,101010111,1000000006,11,senior_secondary,female,21
02/28/23,101,10101,101010111,1000000007,4,primary,male,12
02/28/23,101,10101,101010111,1000000002,10,secondary,male,28
02/28/23,101,10101,101010111,1000000002,12,senior_secondary,female,10
02/28/23,101,10101,101010112,1000000009,7,upper_primary,male,27
02/28/23,101,10101,101010111,1000000008,5,primary,male,24
02/28/23,101,10101,101010111,1000000006,2,primary,female,12
02/28/23,101,10101,101010112,1000000009,1,primary,female,12
02/28/23,101,10101,101010112,1000000009,1,primary,male,20
02/28/23,101,10101,101010111,1000000007,5,primary,female,22
02/28/23,101,10101,101010111,1000000004,1,primary,male,13
02/28/23,101,10101,101010111,1000000008,2,primary,female,15
02/28/23,101,10101,101010111,1000000004,2,primary,female,27
02/28/23,101,10101,101010111,1000000003,2,primary,female,16
02/28/23,101,10101,101010111,1000000007,6,upper_primary,male,16
02/28/23,101,10101,101010111,1000000008,2,primary,male,13
02/28/23,101,10101,101010112,1000000010,2,primary,male,26
02/28/23,101,10101,101010111,1000000001,2,primary,female,28
02/28/23,101,10101,101010111,1000000006,8,upper_primary,female,11
02/28/23,101,10101,101010111,1000000007,8,upper_primary,female,14
02/28/23,101,10101,101010111,1000000008,8,upper_primary,male,23
02/28/23,101,10101,101010111,1000000001,3,primary,male,10
02/28/23,101,10101,101010111,1000000003,5,primary,female,16
02/28/23,101,10101,101010111,1000000003,7,upper_primary,male,21
02/28/23,101,10101,101010111,1000000005,8,upper_primary,female,29
02/28/23,101,10101,101010112,1000000010,3,primary,female,16
02/28/23,101,10101,101010111,1000000004,9,secondary,male,25
02/28/23,101,10101,101010111,1000000002,9,secondary,female,28
02/28/23,101,10101,101010112,1000000010,5,primary,male,19
02/28/23,101,10101,101010111,1000000004,10,secondary,male,13
02/28/23,101,10101,101010111,1000000004,7,upper_primary,female,15
02/28/23,101,10101,101010111,1000000001,6,upper_primary,female,25
02/28/23,101,10101,101010111,1000000004,7,upper_primary,male,12
02/28/23,101,10101,101010111,1000000002,2,primary,female,29
02/28/23,101,10101,101010111,1000000001,1,primary,male,25
02/28/23,101,10101,101010111,1000000007,2,primary,male,27
02/28/23,101,10101,101010111,1000000006,5,primary,female,12
02/28/23,101,10101,101010111,1000000008,9,secondary,male,13
02/28/23,101,10101,101010111,1000000001,5,primary,male,18
02/28/23,101,10101,101010111,1000000004,11,senior_secondary,female,27
02/28/23,101,10101,101010111,1000000005,7,upper_primary,male,18
02/28/23,101,10101,101010111,1000000004,9,secondary,female,20
02/28/23,101,10101,101010111,1000000006,12,senior_secondary,female,14
02/28/23,101,10101,101010111,1000000003,1,primary,male,10
02/28/23,101,10101,101010111,1000000003,3,primary,female,22
02/28/23,101,10101,101010111,1000000006,1,primary,male,17
02/28/23,101,10101,101010112,1000000009,7,upper_primary,female,24
02/28/23,101,10101,101010111,1000000005,3,primary,female,27
02/28/23,101,10101,101010111,1000000008,6,upper_primary,female,11
02/28/23,101,10101,101010111,1000000006,9,secondary,male,28
02/28/23,101,10101,101010111,1000000008,12,senior_secondary,female,24
02/28/23,101,10101,101010111,1000000008,5,primary,female,28
02/28/23,101,10101,101010112,1000000010,2,primary,female,23
02/28/23,101,10101,101010111,1000000001,3,primary,female,24
02/28/23,101,10101,101010111,1000000004,5,primary,male,27
02/28/23,101,10101,101010112,1000000009,4,primary,male,10
02/28/23,101,10101,101010111,1000000002,9,secondary,male,17
02/28/23,101,10101,101010111,1000000004,6,upper_primary,male,14
02/28/23,101,10101,101010111,1000000006,3,primary,female,23
02/28/23,101,10101,101010111,1000000001,12,senior_secondary,female,19
02/28/23,101,10101,101010111,1000000007,7,upper_primary,male,29
02/28/23,101,10101,101010112,1000000010,7,upper_primary,male,12
02/28/23,101,10101,101010111,1000000007,6,upper_primary,female,25
02/28/23,101,10101,101010111,1000000004,1,primary,female,22
02/28/23,101,10101,101010111,1000000006,6,upper_primary,male,11
02/28/23,101,10101,101010111,1000000007,11,senior_secondary,female,13
02/28/23,101,10101,101010111,1000000004,5,primary,female,29
02/28/23,101,10101,101010112,1000000010,6,upper_primary,female,10
02/28/23,101,10101,101010112,1000000010,7,upper_primary,female,19
02/28/23,101,10101,101010111,1000000007,12,senior_secondary,male,21
02/28/23,101,10101,101010111,1000000005,11,senior_secondary,male,10
02/28/23,101,10101,101010111,1000000008,3,primary,female,21
02/28/23,101,10101,101010111,1000000003,12,senior_secondary,female,18
02/28/23,101,10101,101010111,1000000006,2,primary,male,26
02/28/23,101,10101,101010111,1000000008,7,upper_primary,male,21
02/28/23,101,10101,101010111,1000000007,10,secondary,male,23
02/28/23,101,10101,101010112,1000000010,6,upper_primary,male,14
02/28/23,101,10101,101010111,1000000008,6,upper_primary,male,19
02/28/23,101,10101,101010111,1000000008,9,secondary,female,26
02/28/23,101,10101,101010111,1000000004,4,primary,male,17
02/28/23,101,10101,101010112,1000000009,2,primary,male,25
02/28/23,101,10101,101010111,1000000003,8,upper_primary,male,18
02/28/23,101,10101,101010111,1000000004,8,upper_primary,male,27
02/28/23,101,10101,101010111,1000000001,8,upper_primary,female,20
02/28/23,101,10101,101010111,1000000004,10,secondary,female,25
02/28/23,101,10101,101010111,1000000006,9,secondary,female,24
02/28/23,101,10101,101010111,1000000003,11,senior_secondary,male,12
02/28/23,101,10101,101010111,1000000002,3,primary,male,24
02/28/23,101,10101,101010111,1000000006,6,upper_primary,female,29
02/28/23,101,10101,101010111,1000000002,6,upper_primary,male,22
02/28/23,101,10101,101010111,1000000008,3,primary,male,24
02/28/23,101,10101,101010111,1000000006,5,primary,male,21
02/28/23,101,10101,101010112,1000000010,1,primary,male,16
02/28/23,101,10101,101010111,1000000002,5,primary,male,29
02/28/23,101,10101,101010111,1000000006,7,upper_primary,female,13
02/28/23,101,10101,101010112,1000000010,8,upper_primary,female,12
02/28/23,101,10101,101010111,1000000002,4,primary,female,24
02/28/23,101,10101,101010111,1000000003,4,primary,male,23
02/28/23,101,10101,101010112,1000000010,8,upper_primary,male,21
02/28/23,101,10101,101010111,1000000007,12,senior_secondary,female,19
02/28/23,101,10101,101010111,1000000004,4,primary,female,20
02/28/23,101,10101,101010112,1000000009,5,primary,male,21
02/28/23,101,10101,101010112,1000000009,5,primary,female,14
02/28/23,101,10101,101010111,1000000007,7,upper_primary,female,23
02/28/23,101,10101,101010111,1000000003,7,upper_primary,female,21
02/28/23,101,10101,101010111,1000000008,1,primary,male,23
02/28/23,101,10101,101010111,1000000007,11,senior_secondary,male,18
02/28/23,101,10101,101010112,1000000010,1,primary,female,16
02/28/23,101,10101,101010111,1000000001,9,secondary,female,11
02/28/23,101,10101,101010111,1000000003,1,primary,female,25
02/28/23,101,10101,101010111,1000000003,3,primary,male,21
02/28/23,101,10101,101010111,1000000002,1,primary,male,18
02/28/23,101,10101,101010112,1000000010,9,secondary,male,14
02/28/23,101,10101,101010111,1000000005,5,primary,male,24
02/28/23,101,10101,101010111,1000000004,2,primary,male,17
02/28/23,101,10101,101010111,1000000004,3,primary,male,19
02/28/23,101,10101,101010111,1000000005,2,primary,male,26
02/28/23,101,10101,101010112,1000000009,3,primary,male,28
02/28/23,101,10101,101010111,1000000005,6,upper_primary,female,13
02/28/23,101,10101,101010112,1000000009,10,secondary,male,12
02/28/23,101,10101,101010111,1000000007,3,primary,male,25
02/28/23,101,10101,101010111,1000000001,5,primary,female,25
02/28/23,101,10101,101010111,1000000003,6,upper_primary,male,16
02/28/23,101,10101,101010112,1000000009,6,upper_primary,male,22
