state_id,district_id,grade_nas,subject_nas,lo_code,performance
12,101,Grade 3,Language,L304,63.63
12,101,Grade 3,Language,L312,56.84
12,101,Grade 3,Math,M301,39.31
12,101,Grade 3,Math,M302,72.12
12,101,Grade 3,Math,M303,58.69
12,101,Grade 3,Math,M304,67.84
12,101,Grade 3,Math,M305,60.5
12,101,Grade 3,Math,M306,51.36
12,101,Grade 3,Math,M309,35.34
12,101,Grade 3,Math,M311,55.19
12,101,Grade 3,Math,M312,55.73
12,101,Grade 3,Math,M317,70.59
12,101,Grade 3,Math,M318,58.09
12,101,Grade 3,Math,M319,48.04
12,101,Grade 3,Evs,EVS302,61.44
12,101,Grade 3,Evs,EVS303,57.87
12,101,Grade 3,Evs,EVS304,61.91
12,101,Grade 3,Evs,EVS305,58.79
12,101,Grade 3,Evs,EVS307,68.19
12,101,Grade 3,Evs,EVS309,62.13
12,101,Grade 3,Evs,EVS310,65.83
12,101,Grade 3,Evs,EVS311,52.65
12,101,Grade 3,Evs,EVS313,38.39
12,101,Grade 3,Evs,EVS314,66.57
12,102,Grade 3,Language,L304,64.05
12,102,Grade 3,Language,L312,57.92
12,102,Grade 3,Math,M301,50.8
12,102,Grade 3,Math,M302,76.14
12,102,Grade 3,Math,M303,61.84
12,102,Grade 3,Math,M304,64.97
12,102,Grade 3,Math,M305,67.03
12,102,Grade 3,Math,M306,56.46
12,102,Grade 3,Math,M309,45.95
12,102,Grade 3,Math,M311,61.34
12,102,Grade 3,Math,M312,54.42
12,102,Grade 3,Math,M317,78.73
12,102,Grade 3,Math,M318,63.89
12,102,Grade 3,Math,M319,55.01
12,102,Grade 3,Evs,EVS302,64.42
12,102,Grade 3,Evs,EVS303,50.95
12,102,Grade 3,Evs,EVS304,65.21
12,102,Grade 3,Evs,EVS305,56.32
12,102,Grade 3,Evs,EVS307,65.52
12,102,Grade 3,Evs,EVS309,66.51
12,102,Grade 3,Evs,EVS310,73.61
12,102,Grade 3,Evs,EVS311,56.3
12,102,Grade 3,Evs,EVS313,44.97
12,102,Grade 3,Evs,EVS314,69.22
22,201,Grade 3,Language,L304,55.8
22,201,Grade 3,Language,L312,48.65
22,201,Grade 3,Math,M301,46.55
22,201,Grade 3,Math,M302,60.94
22,201,Grade 3,Math,M303,57.77
22,201,Grade 3,Math,M304,58.83
22,201,Grade 3,Math,M305,52.34
22,201,Grade 3,Math,M306,47.69
22,201,Grade 3,Math,M309,41.36
22,201,Grade 3,Math,M311,47.58
22,201,Grade 3,Math,M312,48.44
22,201,Grade 3,Math,M317,63.78
22,201,Grade 3,Math,M318,50.55
22,201,Grade 3,Math,M319,48.14
22,201,Grade 3,Evs,EVS302,56.89
22,201,Grade 3,Evs,EVS303,44.76
22,201,Grade 3,Evs,EVS304,58.85
22,201,Grade 3,Evs,EVS305,57.2
22,201,Grade 3,Evs,EVS307,55.8
22,201,Grade 3,Evs,EVS309,54.09
22,201,Grade 3,Evs,EVS310,65.13
22,201,Grade 3,Evs,EVS311,50.83
22,201,Grade 3,Evs,EVS313,35.18
22,201,Grade 3,Evs,EVS314,56.64
22,202,Grade 3,Language,L304,60.94
22,202,Grade 3,Language,L312,50.79
22,202,Grade 3,Math,M301,40
22,202,Grade 3,Math,M302,70.15
22,202,Grade 3,Math,M303,56.71
22,202,Grade 3,Math,M304,62.77
22,202,Grade 3,Math,M305,55.6
22,202,Grade 3,Math,M306,44.13
22,202,Grade 3,Math,M309,35.95
22,202,Grade 3,Math,M311,50.96
22,202,Grade 3,Math,M312,55.3
22,202,Grade 3,Math,M317,68.91
22,202,Grade 3,Math,M318,54
22,202,Grade 3,Math,M319,45.32
22,202,Grade 3,Evs,EVS302,54.5
22,202,Grade 3,Evs,EVS303,50.14
22,202,Grade 3,Evs,EVS304,64.3
22,202,Grade 3,Evs,EVS305,54.51
22,202,Grade 3,Evs,EVS307,62.42
22,202,Grade 3,Evs,EVS309,54.38
22,202,Grade 3,Evs,EVS310,68.51
22,202,Grade 3,Evs,EVS311,47.99
22,202,Grade 3,Evs,EVS313,34.72
22,202,Grade 3,Evs,EVS314,61.21
