textbook_id,textbook_name
1,English 1
2,English 2
3,English 3
4,English 4
5,English 5
6,Hindi 1
7,Hindi 2
8,Hindi 3
9,Hindi 4
10,Hindi 5
11,Hindi 6
12,Hindi 7
20,Social 1
21,Social 2
22,Social 3
23,Social 4
24,Social 5
25,Biology 1
26,Biology 2
27,Biology 3
28,Biology 4
29,Chemistry 1
30,Chemistry 2
36,Math 1
37,Math 2
38,Math 3
39,Math 4
40,Math 5
41,Math 6
42,Math 7
43,Math 8
44,Math 9
46,Kannada 1
47,Kannada 2
48,Kannada 3
49,Kannada 4
50,Kannada 5
51,Kannada 6
58,Hindi 8
59,Hindi 9
60,Chemistry 3
61,Chemistry 4
62,Chemistry 5
63,Environment 1
64,Environment 2
65,Environment 3
66,Environment 4
67,Environment 5
68,Environment 6
69,Chemistry 6
70,Chemistry 7
